Fytoken, Symbol Details, Exchange Instrument type, Minimum lot size, Tick size, ISIN, Trading Session, Last update date, Expiry date, Symbol ticker, Exchange, Segment, Scrip code, Underlying symbol, Underlying scrip code, Strike price, Option type, Underlying FyToken, Reserved column, Reserved column, Reserved column
1211260325826463,BANKEX 25 Mar 26 FUT ,11,30,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:BANKEX26MARFUT,12,11,826463,BANKEX,12,-1.0,,121000000012,None,0,0.0
1211260430853626,BANKEX 30 Apr 26 FUT ,11,30,0.05,,0915-1530|1815-1915:,2026-03-20,1777543200,BSE:BANKEX26APRFUT,12,11,853626,BANKEX,12,-1.0,,121000000012,None,0,0.0
1211260527871197,BANKEX 27 May 26 FUT ,11,30,0.05,,0915-1530|1815-1915:,2026-03-20,1779876000,BSE:BANKEX26MAYFUT,12,11,871197,BANKEX,12,-1.0,,121000000012,None,0,0.0
1211260325825565,SENSEX 25 Mar 26 FUT ,11,20,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:SENSEX26MARFUT,12,11,825565,SENSEX,1,-1.0,,12100000001,None,0,0.0
1211260430852592,SENSEX 30 Apr 26 FUT ,11,20,0.05,,0915-1530|1815-1915:,2026-03-20,1777543200,BSE:SENSEX26APRFUT,12,11,852592,SENSEX,1,-1.0,,12100000001,None,0,0.0
1211260527870220,SENSEX 27 May 26 FUT ,11,20,0.05,,0915-1530|1815-1915:,2026-03-20,1779876000,BSE:SENSEX26MAYFUT,12,11,870220,SENSEX,1,-1.0,,12100000001,None,0,0.0
1211260325824281,AXISBANK 25 Mar 26 FUT ,13,625,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:AXISBANK26MARFUT,12,11,824281,AXISBANK,532215,-1.0,,1210000000532215,None,0,0.0
1211260430851179,AXISBANK 30 Apr 26 FUT ,13,625,0.05,,0915-1530|1815-1915:,2026-03-20,1777543200,BSE:AXISBANK26APRFUT,12,11,851179,AXISBANK,532215,-1.0,,1210000000532215,None,0,0.0
1211260527868865,AXISBANK 27 May 26 FUT ,13,625,0.05,,0915-1530|1815-1915:,2026-03-20,1779876000,BSE:AXISBANK26MAYFUT,12,11,868865,AXISBANK,532215,-1.0,,1210000000532215,None,0,0.0
1211260325826323,CANBK 25 Mar 26 FUT ,13,6750,0.05,,0915-1530|1815-1915:,2026-03-20,1774432800,BSE:CANBK26MARFUT,12,11,826323,CANBK,532483,-1.0,,1210000000532483,None,0,0.0
1211260430853485,CANBK 30 Apr 26 FUT ,13,6750,0.05,,0915-1530|1815-1915:,2026-03-20,1777543200,BSE:CANBK26APRFUT,12,11,853485,CANBK,532483,-1.0,,1210000000532483,None,0,0.0
1211260527871058,CANBK 27 May 26 FUT ,13,6750,0.05,,0915-1530|1815-1915:,2026-03-20,1779876000,BSE:CANBK26MAYFUT,12,11,871058,CANBK,532483,-1.0,,1210000000532483,None,0,0.0
